id,intakereason,animalname,breedname,basecolour,speciesname,animalage,sexname,movementtype,intakedate,movementdate,Time take to move out
47750,Abandoned,Pepper,Border Collie/Mix,Brown and White,Dog,2 years 0 months.,Female,Adoption,25/Mar/17,27/May/17,63.00
47751,Abandoned,Butter,Border Collie/Mix,Brown and White,Dog,1 year 8 months.,Male,Foster,27/Mar/17,29/Mar/17,2.00
47751,Abandoned,Butter,Border Collie/Mix,Brown and White,Dog,1 year 8 months.,Male,Foster,27/Mar/17,13/May/17,47.00
47751,Abandoned,Butter,Border Collie/Mix,Brown and White,Dog,1 year 8 months.,Male,Adoption,27/Mar/17,29/Mar/17,2.00
47752,Abandoned,Pistol Pete,Border Collie/Mix,Black and White,Dog,1 year 8 months.,Male,Foster,27/Mar/17,8/May/17,42.00
47752,Abandoned,Pistol Pete,Border Collie/Mix,Black and White,Dog,1 year 8 months.,Male,Foster,27/Mar/17,22/Apr/17,26.00
47752,Abandoned,Pistol Pete,Border Collie/Mix,Black and White,Dog,1 year 8 months.,Male,Adoption,27/Mar/17,14/May/17,48.00
47753,Abandoned,King,Border Collie/Mix,Black and White,Dog,2 years 2 months.,Male,Foster,27/Mar/17,29/Mar/17,2.00
47753,Abandoned,King,Border Collie/Mix,Black and White,Dog,2 years 2 months.,Male,Foster,27/Mar/17,8/May/17,42.00
47753,Abandoned,King,Border Collie/Mix,Black and White,Dog,2 years 2 months.,Male,Adoption,27/Mar/17,29/Mar/17,2.00
47753,Abandoned,King,Border Collie/Mix,Black and White,Dog,2 years 2 months.,Male,Adoption,27/Mar/17,22/Apr/17,26.00
47754,Abandoned,Chutney,Border Collie/Mix,Brown and White,Dog,1 year 8 months.,Female,Foster,27/Mar/17,9/May/17,43.00
47754,Abandoned,Chutney,Border Collie/Mix,Brown and White,Dog,1 year 8 months.,Female,Adoption,27/Mar/17,29/Mar/17,2.00
47755,Abandoned,Lucy Lu,Border Collie/Mix,Black and White,Dog,1 year 8 months.,Female,Foster,27/Mar/17,22/Apr/17,26.00
47755,Abandoned,Lucy Lu,Border Collie/Mix,Black and White,Dog,1 year 8 months.,Female,Foster,27/Mar/17,16/May/17,50.00
47755,Abandoned,Lucy Lu,Border Collie/Mix,Black and White,Dog,1 year 8 months.,Female,Adoption,27/Mar/17,29/Mar/17,2.00
47756,Abandoned,Vista,Border Collie/Mix,Black and White,Dog,1 year 8 months.,Female,Foster,27/Mar/17,22/Apr/17,26.00
